n_links,cond_id,vol_err_pct,ang_err,seed,gt_density_L1,gt_density_L2,gt_density_L3,gt_density_L4,gt_density_L5,gt_density_L6,est_density_L1,est_density_L2,est_density_L3,est_density_L4,est_density_L5,est_density_L6,err_pct_L1,err_pct_L2,err_pct_L3,err_pct_L4,err_pct_L5,err_pct_L6,mean_err_pct,mean_mass_err_pct,base_static_err_med,base_static_sd_med,base_dyn_err_med,base_dyn_sd_med,n_configs,n_measurements,final_uncertainty,converged,grasp_point,wall_time_sec
2,C2,1.0,5%rel(min0.5deg),4,5200.0,700.0,,,,,4752.4,1015.2,,,,,8.608,45.031,,,,,26.819702563880025,20.640489113761042,0.02670962690917544,0.006025321114445594,0.1705565166392528,0.4239180845880004,3,12,0.6025321114445594,True,link0 proximal end (sensor at AFT200 puck),281.9704942703247
2,C3,5.0,5%rel(min0.5deg),0,5200.0,700.0,,,,,4677.3,916.3,,,,,10.053,30.898,,,,,20.475330865413962,17.624827285367445,0.02105805904467315,0.0032522883538662934,0.367067751518165,0.35844122253153765,3,12,0.32522883538662933,True,link0 proximal end (sensor at AFT200 puck),351.9164593219757
2,C3,5.0,5%rel(min0.5deg),1,5200.0,700.0,,,,,5150.5,1079.5,,,,,0.951,54.213,,,,,27.582178945102136,24.554369728249046,0.04665639069688954,0.0036995868039471527,0.23358055244958786,1.1367450331152888,3,12,0.36995868039471524,True,link0 proximal end (sensor at AFT200 puck),339.12519454956055
2,C3,5.0,5%rel(min0.5deg),2,5200.0,700.0,,,,,4864.4,1090.9,,,,,6.454,55.849,,,,,31.151280623836954,29.79720484554601,0.040394888102173135,0.004230986730029224,0.18760401587132267,0.61606744102256,3,12,0.42309867300292237,True,link0 proximal end (sensor at AFT200 puck),416.9130024909973
2,C3,5.0,5%rel(min0.5deg),3,5200.0,700.0,,,,,5130.5,1058.0,,,,,1.336,51.150,,,,,26.24298802558957,19.38852407813159,0.013636648178116348,0.00460609768239135,0.34536672596076884,0.5222151193583751,3,12,0.460609768239135,True,link0 proximal end (sensor at AFT200 puck),275.97499442100525
2,C3,5.0,5%rel(min0.5deg),4,5200.0,700.0,,,,,4560.5,986.0,,,,,12.298,40.852,,,,,26.575343705141062,21.260682975276364,0.026357104371436946,0.006250508720897727,0.1822010539536227,0.42397018952397375,3,12,0.6250508720897727,True,link0 proximal end (sensor at AFT200 puck),241.37197422981262
3,C0,1.0,1%rel(min0.5deg),0,5200.0,1907.9,700.0,,,,4477.3,2367.0,691.7,,,,13.897,24.061,1.181,,,,13.046307063380153,12.092225143548442,0.025769823286887743,0.003062224201370347,0.2612541781492944,0.4792582502938133,4,16,0.3062224201370347,True,link0 proximal end (sensor at AFT200 puck),570.0803208351135
3,C0,1.0,1%rel(min0.5deg),1,5200.0,1907.9,700.0,,,,4804.8,2370.9,694.9,,,,7.601,24.267,0.722,,,,10.863271854821194,8.914012730010489,0.027446881751318878,0.0038335909968298778,0.17221061722585956,0.4640721981632347,4,16,0.38335909968298776,True,link0 proximal end (sensor at AFT200 puck),572.7074356079102
3,C0,1.0,1%rel(min0.5deg),2,5200.0,1907.9,700.0,,,,4978.5,2271.1,694.8,,,,4.260,19.034,0.750,,,,8.014830890448188,7.543402408951974,0.00987685604132335,0.003186618429630083,0.2291703648036037,0.6098589106183834,4,16,0.31866184296300826,True,link0 proximal end (sensor at AFT200 puck),442.6025609970093
3,C0,1.0,1%rel(min0.5deg),3,5200.0,1907.9,700.0,,,,5153.6,1516.2,1080.1,,,,0.892,20.531,54.305,,,,25.242457471217573,20.875122505933543,0.020416974008258114,0.0036536350352539045,0.24730573473859482,0.590401792361148,4,16,0.36536350352539043,True,link0 proximal end (sensor at AFT200 puck),585.8620090484619
3,C0,1.0,1%rel(min0.5deg),4,5200.0,1907.9,700.0,,,,4797.0,2229.7,678.8,,,,7.751,16.866,3.025,,,,9.214208500815696,8.656804112661481,0.024222647211848698,0.004395248047686354,0.1739099396259689,0.7013162469902288,4,16,0.4395248047686354,True,link0 proximal end (sensor at AFT200 puck),467.40960812568665
3,C1,5.0,1%rel(min0.5deg),0,5200.0,1907.9,700.0,,,,4338.1,2211.6,703.4,,,,16.575,15.919,0.490,,,,10.994747678723593,12.169124776839375,0.026054036104349716,0.0028583014533088208,0.21149724924593694,0.4758742380870799,4,16,0.2858301453308821,True,link0 proximal end (sensor at AFT200 puck),621.6313989162445
3,C1,5.0,1%rel(min0.5deg),1,5200.0,1907.9,700.0,,,,4648.7,2433.9,659.3,,,,10.601,27.567,5.820,,,,14.662763150810045,8.409625889750144,0.028389739862162092,0.003935863225508727,0.18377284616141923,0.46444831694163047,4,16,0.39358632255087267,True,link0 proximal end (sensor at AFT200 puck),586.5315225124359
3,C1,5.0,1%rel(min0.5deg),2,5200.0,1907.9,700.0,,,,5054.7,2423.1,782.9,,,,2.795,27.004,11.848,,,,13.882205579072712,10.411259358546046,0.009232048059344251,0.0031685414565660445,0.20309416518540938,0.5989274698127083,4,16,0.31685414565660447,True,link0 proximal end (sensor at AFT200 puck),506.56085753440857
3,C1,5.0,1%rel(min0.5deg),3,5200.0,1907.9,700.0,,,,4847.5,1778.0,976.7,,,,6.778,6.806,39.525,,,,17.703005769619274,16.195811270592063,0.02067437665437149,0.0035035699201135277,0.18517088613608973,0.5895974502500865,4,16,0.3503569920113528,True,link0 proximal end (sensor at AFT200 puck),542.43479347229
3,C1,5.0,1%rel(min0.5deg),4,5200.0,1907.9,700.0,,,,5003.4,2057.6,734.9,,,,3.780,7.845,4.986,,,,5.536969712698217,9.202225423789887,0.023760431876488568,0.004732536088943034,0.2098563909311561,0.7112942244260736,4,16,0.4732536088943034,True,link0 proximal end (sensor at AFT200 puck),629.1734516620636
3,C2,1.0,5%rel(min0.5deg),0,5200.0,1907.9,700.0,,,,4430.6,2410.4,692.1,,,,14.795,26.337,1.132,,,,14.088231777820605,13.081287889425399,0.06584199475204908,0.002908213409742936,0.24084491947830344,0.4774643659183916,4,16,0.2908213409742936,True,link0 proximal end (sensor at AFT200 puck),620.3028891086578
3,C2,1.0,5%rel(min0.5deg),1,5200.0,1907.9,700.0,,,,4764.6,2530.5,621.5,,,,8.373,32.635,11.211,,,,17.406254175464294,14.014701495919374,0.04802133795247027,0.003953227940372368,0.18779462562747817,0.46511029317388397,4,16,0.3953227940372368,True,link0 proximal end (sensor at AFT200 puck),302.05647802352905
3,C2,1.0,5%rel(min0.5deg),2,5200.0,1907.9,700.0,,,,5044.3,2375.2,565.7,,,,2.994,24.493,19.190,,,,15.558861086847926,13.657191764403592,0.018914012146209216,0.0029787473262927406,0.15715283492207888,0.5497592901552628,4,16,0.29787473262927405,True,link0 proximal end (sensor at AFT200 puck),451.9528229236603
3,C2,1.0,5%rel(min0.5deg),3,5200.0,1907.9,700.0,,,,5087.8,1804.5,897.6,,,,2.157,5.417,28.227,,,,11.93383152089235,9.952358570457775,0.03236947313019882,0.003437397791254714,0.19555358394489794,0.6408110624350013,4,16,0.34373977912547143,True,link0 proximal end (sensor at AFT200 puck),425.0575466156006
3,C2,1.0,5%rel(min0.5deg),4,5200.0,1907.9,700.0,,,,4425.6,2600.4,623.3,,,,14.891,36.298,10.952,,,,20.713753279029778,18.680113064207266,0.016696397427328594,0.004350165470888697,0.5817885779177648,0.698389592122945,4,16,0.4350165470888697,True,link0 proximal end (sensor at AFT200 puck),584.3215067386627
3,C3,5.0,5%rel(min0.5deg),0,5200.0,1907.9,700.0,,,,4247.5,2305.0,694.7,,,,18.317,20.812,0.759,,,,13.296268002631152,14.001960998563211,0.06779757234955511,0.0028088441316346828,0.2235549522127797,0.4702603501047943,4,16,0.2808844131634683,True,link0 proximal end (sensor at AFT200 puck),744.0012757778168
3,C3,5.0,5%rel(min0.5deg),1,5200.0,1907.9,700.0,,,,4606.7,2615.0,579.9,,,,11.411,37.061,17.154,,,,21.875289359334428,14.197202826951681,0.04601024776803114,0.003998010498474282,0.19262717816438946,0.4655964813461226,4,16,0.39980104984742815,True,link0 proximal end (sensor at AFT200 puck),505.72965908050537
3,C3,5.0,5%rel(min0.5deg),2,5200.0,1907.9,700.0,,,,5376.1,1971.1,878.6,,,,3.387,3.311,25.509,,,,10.736001914773666,6.327712887612296,0.01832552332992691,0.003187143411072833,0.22381815498538155,0.6146810679678136,4,16,0.3187143411072833,True,link0 proximal end (sensor at AFT200 puck),516.2818987369537
3,C3,5.0,5%rel(min0.5deg),3,5200.0,1907.9,700.0,,,,5014.1,1590.4,986.8,,,,3.576,16.639,40.975,,,,20.396384346762815,19.068759435349218,0.03194991684061142,0.003497192730964104,0.21791289039454897,0.6251318010500849,4,16,0.3497192730964104,True,link0 proximal end (sensor at AFT200 puck),497.66797137260437
3,C3,5.0,5%rel(min0.5deg),4,5200.0,1907.9,700.0,,,,4929.5,2128.0,725.2,,,,5.201,11.535,3.593,,,,6.776387603836306,10.431200974803595,0.018406822703898942,0.004671889018766721,0.16277128129168994,0.7161291877862451,4,16,0.4671889018766721,True,link0 proximal end (sensor at AFT200 puck),641.4464645385742
4,C0,1.0,1%rel(min0.5deg),0,5200.0,2665.0,1365.8,700.0,,,4296.6,3738.2,988.1,814.0,,,17.373,40.271,27.655,16.289,,,25.39699583373637,22.970169484929503,0.010227646416787414,0.0016725545833264134,0.2754192805211957,0.5053928198608326,5,20,0.16725545833264133,True,link0 proximal end (sensor at AFT200 puck),795.4417757987976
4,C0,1.0,1%rel(min0.5deg),1,5200.0,2665.0,1365.8,700.0,,,5016.5,2765.4,1333.0,750.3,,,3.530,3.767,2.401,7.180,,,4.21953495764761,3.6529652628416107,0.025220079669304764,0.001970083845187983,0.22258065932524418,0.5002059237587922,5,20,0.19700838451879832,True,link0 proximal end (sensor at AFT200 puck),756.41064286232
4,C0,1.0,1%rel(min0.5deg),2,5200.0,2665.0,1365.8,700.0,,,5019.3,2796.4,1473.2,581.5,,,3.475,4.931,7.860,16.931,,,8.299398257285524,7.0826798711056345,0.030123597934410107,0.001951090058719796,0.2146707276897029,0.6332699442490228,5,20,0.1951090058719796,True,link0 proximal end (sensor at AFT200 puck),548.8301391601562
4,C0,1.0,1%rel(min0.5deg),3,5200.0,2665.0,1365.8,700.0,,,5295.7,2597.9,1367.9,730.6,,,1.840,2.520,0.155,4.372,,,2.2217377143028214,1.918863878753368,0.03892300250643632,0.002425292733878315,0.16128768267510055,0.8302528574026244,5,20,0.24252927338783148,True,link0 proximal end (sensor at AFT200 puck),855.2290081977844
4,C0,1.0,1%rel(min0.5deg),4,5200.0,2665.0,1365.8,700.0,,,5010.1,2640.0,1555.9,668.9,,,3.652,0.937,13.918,4.447,,,5.738487228388437,4.816096168389474,0.008119210677656408,0.002974480087483247,0.26214198375081266,0.57313160967011,5,20,0.2974480087483247,True,link0 proximal end (sensor at AFT200 puck),812.4224236011505
4,C1,5.0,1%rel(min0.5deg),0,5200.0,2665.0,1365.8,700.0,,,4227.2,3320.9,1273.9,633.8,,,18.709,24.611,6.726,9.456,,,14.875555967735945,12.233913358761768,0.016817516237351515,0.0016561172667769262,0.22879661873258966,0.48225136739894703,5,20,0.1656117266776926,True,link0 proximal end (sensor at AFT200 puck),636.3734743595123
4,C1,5.0,1%rel(min0.5deg),1,5200.0,2665.0,1365.8,700.0,,,4823.4,2901.1,1387.5,715.1,,,7.242,8.858,1.587,2.152,,,4.9597545398491665,3.63813987194142,0.025343619445917183,0.001991638175889809,0.21836072512282087,0.5081366105394985,5,20,0.19916381758898088,True,link0 proximal end (sensor at AFT200 puck),751.166125535965
4,C1,5.0,1%rel(min0.5deg),2,5200.0,2665.0,1365.8,700.0,,,5219.6,2934.8,1384.6,592.3,,,0.378,10.122,1.377,15.385,,,6.815567948825004,5.799576144057129,0.030089705593257868,0.0019348270686322104,0.21831741524061327,0.6326273330484579,5,20,0.19348270686322105,True,link0 proximal end (sensor at AFT200 puck),775.8552193641663
4,C1,5.0,1%rel(min0.5deg),3,5200.0,2665.0,1365.8,700.0,,,5020.2,2553.6,1381.6,812.0,,,3.458,4.181,1.158,16.006,,,6.200898068066596,3.373221512155107,0.03992374825349254,0.002593484350238805,0.1960730656956225,0.9185523066343348,5,20,0.2593484350238805,True,link0 proximal end (sensor at AFT200 puck),845.5392241477966
4,C1,5.0,1%rel(min0.5deg),4,5200.0,2665.0,1365.8,700.0,,,4734.2,2922.1,1381.5,821.7,,,8.958,9.645,1.149,17.384,,,9.284147916273906,5.066639647348497,0.0072168599397516246,0.002990701951572591,0.1690404258957517,0.5785254375233253,5,20,0.2990701951572591,True,link0 proximal end (sensor at AFT200 puck),792.9266798496246
4,C2,1.0,5%rel(min0.5deg),0,5200.0,2665.0,1365.8,700.0,,,4554.3,3721.5,722.3,833.3,,,12.418,39.644,47.116,19.039,,,29.55419906897683,26.366563646146652,0.04336198250142046,0.001652517915146229,0.45050927526160367,0.5238409026366118,5,20,0.1652517915146229,True,link0 proximal end (sensor at AFT200 puck),780.7076325416565
4,C2,1.0,5%rel(min0.5deg),1,5200.0,2665.0,1365.8,700.0,,,5028.5,2701.9,1920.8,428.9,,,3.297,1.383,40.639,38.729,,,21.01212839162399,16.72821858035194,0.032009029002535015,0.002122576340685361,0.37968359332272866,0.4935697518065709,5,20,0.21225763406853612,True,link0 proximal end (sensor at AFT200 puck),647.2720654010773
4,C2,1.0,5%rel(min0.5deg),2,5200.0,2665.0,1365.8,700.0,,,5226.2,2408.1,1348.1,911.5,,,0.504,9.640,1.295,30.221,,,10.415018778173415,8.667442193810592,0.044120862937521224,0.001960812831833054,0.7218659315702751,0.6351921954954021,5,20,0.1960812831833054,True,link0 proximal end (sensor at AFT200 puck),547.363941192627
4,C2,1.0,5%rel(min0.5deg),3,5200.0,2665.0,1365.8,700.0,,,5474.5,1950.4,1533.5,943.5,,,5.279,26.814,12.275,34.781,,,19.787207098624243,16.68361197860375,0.066748153957689,0.0026034370911517573,0.2235495228178837,0.9063064275217367,5,20,0.26034370911517574,True,link0 proximal end (sensor at AFT200 puck),707.9031584262848
4,C2,1.0,5%rel(min0.5deg),4,5200.0,2665.0,1365.8,700.0,,,4880.3,2804.7,1384.5,765.8,,,6.148,5.243,1.371,9.394,,,5.539194186211159,3.9161725564426897,0.006021841590425308,0.003094027990334901,0.18559796087111696,0.5764252490355996,5,20,0.3094027990334901,True,link0 proximal end (sensor at AFT200 puck),587.5024316310883
4,C3,5.0,5%rel(min0.5deg),0,5200.0,2665.0,1365.8,700.0,,,4516.9,3674.0,98.1,1242.8,,,13.137,37.860,92.818,77.550,,,55.3411494799783,48.73445604389087,0.042908110745773775,0.0016176324954957043,0.5628917217989955,0.5163108742114165,5,20,0.16176324954957044,True,link0 proximal end (sensor at AFT200 puck),869.8266589641571
4,C3,5.0,5%rel(min0.5deg),1,5200.0,2665.0,1365.8,700.0,,,4958.3,2502.8,2346.6,264.1,,,4.647,6.085,71.810,62.266,,,36.20216646563488,28.120656298703945,0.03134668241972002,0.0020820367666430574,0.8740009933244699,0.4816086624663888,5,20,0.20820367666430575,True,link0 proximal end (sensor at AFT200 puck),565.0559754371643
4,C3,5.0,5%rel(min0.5deg),2,5200.0,2665.0,1365.8,700.0,,,5370.8,2671.3,1096.3,1061.0,,,3.284,0.238,19.734,51.568,,,18.70583230092528,16.405154626533342,0.03932790307339159,0.0019519284651574637,0.6524650823191953,0.6328476020614999,5,20,0.19519284651574637,True,link0 proximal end (sensor at AFT200 puck),678.7105240821838
4,C3,5.0,5%rel(min0.5deg),3,5200.0,2665.0,1365.8,700.0,,,5193.1,2784.5,1046.4,791.9,,,0.133,4.483,23.387,13.132,,,10.283897870605864,10.88171719829714,0.057842107132022605,0.002637743109472913,0.369287647059754,0.8897538071963622,5,20,0.2637743109472913,True,link0 proximal end (sensor at AFT200 puck),701.7293901443481
4,C3,5.0,5%rel(min0.5deg),4,5200.0,2665.0,1365.8,700.0,,,4726.8,2923.6,1435.4,778.9,,,9.101,9.705,5.099,11.264,,,8.792216338521078,3.2201561084683874,0.005962984183805692,0.003090097821969872,0.2744338544684,0.5718680198109489,5,20,0.3090097821969872,True,link0 proximal end (sensor at AFT200 puck),566.9261376857758
5,C0,1.0,1%rel(min0.5deg),0,5200.0,3149.8,1907.9,1155.6,700.0,,5208.9,3200.1,1959.0,941.5,788.6,,0.171,1.598,2.680,18.528,12.658,,7.12712347492528,5.7359498326778375,0.014267310025544887,0.0016027827962024743,0.20035210268677617,0.5257842935812912,6,24,0.16027827962024743,True,link0 proximal end (sensor at AFT200 puck),1120.120109796524
5,C0,1.0,1%rel(min0.5deg),1,5200.0,3149.8,1907.9,1155.6,700.0,,5184.6,3077.8,2203.2,914.3,997.9,,0.296,2.286,15.480,20.882,42.556,,16.299877087602475,13.10265000818423,0.0036489949578165154,0.0016164143152567379,0.3419938914109889,0.6587491608718572,6,24,0.16164143152567378,True,link0 proximal end (sensor at AFT200 puck),1013.9805378913879
